NonLinearLinesClearedHeuristic SumOfHeightOfBlocksHeuristic SumOfHeightOfColumnsHeuristic BumpinessHeuristic HolesHeuristic BlockadesHeuristic Fitness
.5087 -.1388 .4120 .7807 .6341 .8180 .0000
-.9054 .9205 -.9885 -.1391 .5751 .9717 .0000
.0185 -.0337 .5063 .7723 -.1943 .5154 .0000
.8750 -.8947 .5014 .9065 .3169 .2944 .0000
.9127 -.7193 -.6885 -.5052 .0359 -.9015 .0000
.1865 -.9075 .1402 .8702 -.6541 .2712 .0000
-.9093 .4292 .4199 -.4437 .5707 -.6608 .0000
-.8791 -.3090 -.2150 -.9871 .6284 -.3287 .0000
-.3071 .8391 -.4664 -.9096 -.9190 .1103 .0000
-.0570 .7403 -.9704 -.9075 -.2146 -.6107 .0000
.5865 -.7800 -.2914 .4954 -.0293 .0483 .0000
-.0708 .3116 -.1533 .9637 -.9006 -.8049 .0000
.7603 -.6981 -.5231 -.9201 -.7732 -.2927 .0000
-.5182 -.3205 .9850 .9057 .8707 .5363 .0000
.6858 -.4801 .3292 .9207 -.1760 .6646 .0000
.8765 -.4111 .4315 .5547 .4691 -.2739 .0000
.2782 .7875 -.1143 -.1808 .7751 .8310 .0000
.7263 -.0995 -.0778 -.2921 -.7720 .2598 .0000
-.3603 -.9170 .9564 -.5582 .3132 .7371 .0000
-.7691 .1860 .9037 -.7798 .4259 -.3619 .0000
.2366 -.5497 .7966 -.6777 .3742 .3304 .0000
.8436 -.9591 .5793 .3048 .6359 -.1044 .0000
-.1255 .9852 .5715 -.2988 -.0216 .6688 .0000
.6547 .3875 .7343 .4125 .6313 .2448 .0000
-.8526 .4455 -.0395 -.9038 .8167 .3944 .0000
.9370 -.3071 -.8298 -.1953 -.3674 -.1745 .0000
-.6989 .3459 -.3863 .4138 -.8139 -.7449 .0000
.9483 -.1353 -.3877 .1305 -.0166 -.4571 .0000
-.1124 -.5614 -.0821 -.9182 -.5215 .4920 .0000
.7088 -.3918 -.7363 -.7890 .6118 -.7990 .0000
.5762 -.6757 -.7945 -.3514 -.3987 .5809 .0000
.4282 -.2041 -.5211 -.8752 -.7619 -.2071 .0000
.7972 -.3632 -.3110 -.6842 .4542 .6474 .0000
.6844 -.2536 .6814 -.7063 -.2604 .7278 .0000
.6428 .5037 -.7084 -.6421 -.2693 -.7999 .0000
.0571 -.9192 -.8616 -.9217 .6796 -.5321 .0000
.9954 .7710 .0488 -.4583 -.5554 .8931 .0000
.3164 .3667 -.3605 .5884 .9766 .0649 .0000
-.8695 .8839 -.7824 -.5300 .4958 .4952 .0000
.9727 .3605 .2284 -.7866 .0462 .8184 .0000
.0332 -.4772 -.5081 .9669 .7314 -.9335 .0000
.8962 -.8092 .7418 .2142 .9880 .8760 .0000
.7994 .7668 -.3656 -.3972 -.6074 -.8642 .0000
.4660 .5541 -.8244 -.3879 -.6568 -.1972 .0000
-.1483 .4022 .1915 -.7859 -.2016 -.7861 .0000
-.1275 .1081 -.5348 .6102 .7813 -.1223 .0000
.4018 .6554 -.8383 .8645 -.5719 -.4447 .0000
-.4843 .4412 .0760 .7819 -.5930 -.7103 .0000
-.2627 -.2783 .1843 .9555 .5942 .6226 .0000
.1982 -.8986 -.2036 -.1696 -.9803 .5882 .0000
.0060 -.7601 .0132 -.5823 -.0224 .2767 .0000
-.8681 .8753 .5671 .7210 .6942 -.1174 .0000
-.1259 -.5815 -.9137 .8017 -.9723 -.2475 .0000
.0915 -.4910 -.9387 -.4091 -.1775 -.3134 .0000
-.2865 -.8386 .6694 -.7691 .1238 -.1350 .0000
-.0077 .7594 -.8638 .0753 -.8557 -.3882 .0000
.3423 -.4425 -.6957 -.2224 -.4602 -.9396 .0000
-.3988 .2929 .2607 .5993 -.1548 -.1257 .0000
.3639 -.5137 .0387 .9528 .8047 -.1862 .0000
.6795 .6637 -.8426 -.0619 .1209 -.9063 .0000
-.4255 .9681 -.2677 .5541 .5096 .7275 .0000
.1606 -.4712 .1066 -.3508 -.2000 .4973 .0000
-.3719 .3291 .4848 -.4213 -.0348 -.8409 .0000
.8157 .8478 .6676 .6887 -.7963 -.1325 .0000
.5901 -.1930 -.3697 .4696 -.1869 -.3029 .0000
.8648 .6799 -.8520 -.5135 -.2480 .6578 .0000
-.5402 -.2458 .2788 -.4949 .0374 -.1074 .0000
-.4384 -.9450 .7848 .9500 .5839 -.5351 .0000
-.6578 -.0703 .5653 .6898 .9014 .2897 .0000
.1093 .0494 -.0341 -.0617 .3416 .0235 .0000
.1035 -.3565 .2169 -.2947 -.4307 -.4345 .0000
-.9919 .2181 -.5666 -.8604 -.6487 .6035 .0000
-.7908 -.0721 .2545 -.5866 .6538 .7432 .0000
.2922 -.9832 .3616 -.2251 .4824 -.2277 .0000
.9257 -.8590 .3328 .1467 .5767 .8473 .0000
.2939 -.1003 -.4749 -.2185 .9247 .4135 .0000
-.3553 .6529 .1899 -.8412 -.1051 -.9409 .0000
.7816 -.3565 .6829 -.6738 -.6100 .0187 .0000
.8719 -.8766 -.6084 .0636 -.9537 -.1216 .0000
.0931 -.1473 .7670 .3982 .7412 -.9918 .0000
.9038 .5996 .3732 -.1975 -.7286 .5298 .0000
-.0542 .3685 .4067 -.5047 .8340 .9780 .0000
-.3053 .9470 .3100 .5847 .2266 .6590 .0000
.7717 .7956 -.2227 -.1330 .1745 -.3048 .0000
.5662 -.6212 .9998 -.4598 -.2243 .8139 .0000
.3993 -.8816 -.7110 .4300 .9651 .1495 .0000
-.2014 -.8550 .9762 .4538 .0101 .9730 .0000
-.2813 .3813 .3700 .3459 -.7714 .3179 .0000
-.6686 -.8091 -.8273 -.2391 -.9877 -.3851 .0000
.0460 .6565 .8204 -.6255 .3649 -.0780 .0000
-.6471 -.4429 .2593 .5034 -.6208 .1789 .0000
-.2115 .7556 .4373 .1898 .9457 -.7094 .0000
-.8628 -.9378 -.8227 -.1149 -.3902 -.3350 .0000
-.5204 .2792 -.5853 -.2005 -.7501 .4933 .0000
-.9352 .4321 -.5684 .9432 -.0022 .4063 .0000
.4006 -.9628 .6889 .0955 .9905 .0350 .0000
-.6740 .7685 .0532 -.1062 .7707 -.6276 .0000
-.7291 -.2593 -.9944 -.3296 -.5846 -.7422 .0000
.8564 -.0944 .0821 .1148 -.0558 .1395 .0000
.3903 -.1588 .2294 .6936 -.1885 .9442 .0000
-.4945 -.6418 -.7973 .9244 -.8766 .6698 .0000
-.6163 -.2849 .0999 .8729 .7539 .6553 .0000
-.6831 -.1019 -.6930 .2083 .4221 -.3587 .0000
-.7472 .9621 -.0415 .5316 -.9236 .4740 .0000
-.0159 .9096 .3902 .1218 .1314 -.0159 .0000
-.4989 .7572 -.8685 -.3581 -.1185 .7515 .0000
-.4927 .7107 .8780 -.9202 .2887 .8893 .0000
.3936 .1226 .4484 -.2463 -.6357 -.4861 .0000
-.1898 .8353 .0784 .2444 .1591 .5109 .0000
-.4184 -.6162 .9214 -.9157 .1277 .7288 .0000
.0808 .7161 .5422 .8272 .6957 -.1790 .0000
.7250 -.3117 -.6336 .3028 .8883 -.1558 .0000
-.1944 -.1331 .4018 .4707 -.3524 -.7479 .0000
-.8611 .6908 .4413 -.7696 .6820 -.7905 .0000
-.7520 .3278 .0156 .2814 .5213 -.9547 .0000
-.4444 -.3760 .9608 .0565 -.8985 -.5986 .0000
.3588 .2416 -.0215 .4844 -.8118 -.0231 .0000
.2701 -.0150 .1016 -.6685 -.3772 .5041 .0000
-.2711 .9315 -.4639 .2584 -.3782 -.0764 .0000
.5597 -.8144 .2178 .2712 -.0691 .0059 .0000
.0933 -.3296 -.2788 .0638 .2739 .6435 .0000
.3148 .1457 .2523 -.9843 .8611 .7447 .0000
.4548 .1832 -.2912 .7652 -.4326 .1354 .0000
.0839 -.9128 .8393 .2170 .4803 .7926 .0000
-.3285 -.5606 .1610 -.8631 .0539 -.6917 .0000
.9360 .0914 -.9758 .5093 .6409 -.8137 .0000
.6994 .4130 .6586 .8002 -.4597 .1815 .0000
-.1000 .8125 -.6966 .8345 -.3941 -.7421 .0000
-.7977 .3801 -.2908 .0040 .4056 -.2000 .0000
.0930 -.0788 .9451 -.0240 -.4569 -.7956 .0000
-.5312 .4269 -.4088 -.0458 .5143 -.1633 .0000
.6969 .4613 .5651 -.5613 -.7528 -.6926 .0000
.2840 .5240 -.2588 -.4513 -.7858 .4305 .0000
.8190 -.6707 .4329 .6727 -.3216 .0964 .0000
.8839 .7224 .1904 -.4505 -.5143 .9537 .0000
.0663 -.0170 -.7098 .1696 .0851 .8022 .0000
.7030 .1244 -.7513 .6819 -.1085 -.6494 .0000
.6919 .0306 -.3958 .3885 .7124 -.0154 .0000
-.0147 -.4949 .3919 .7581 .1592 .6470 .0000
-.4973 -.7407 -.2860 .4708 .1246 .2416 .0000
-.9364 .6931 .4903 -.0371 -.5406 .6832 .0000
-.9292 .2729 .0843 -.6419 -.9437 .2012 .0000
-.3780 .4234 -.9956 .0116 -.5885 .0270 .0000
-.7076 -.5514 .8628 -.9809 .6353 .0998 .0000
-.0428 .3223 .0248 -.6916 -.2184 .5621 .0000
.5577 -.7732 -.9476 .7442 .4318 -.8289 .0000
-.1237 .8973 .7301 .5753 -.5743 -.9340 .0000
.4409 .6551 .9837 .2075 .7997 .1804 .0000
-.6448 -.6080 -.9605 -.3848 -.7275 .5081 .0000
.6261 -.5656 .7186 .7679 .6037 -.8350 .0000
